log_date,user_id,user.type,payment
2013-06,184,existing,0.0
2013-06,186,existing,5710.0
2013-06,188,existing,0.0
2013-06,189,existing,0.0
2013-06,195,existing,0.0
2013-06,197,existing,0.0
2013-06,200,existing,0.0
2013-06,203,existing,3240.0
2013-06,205,existing,0.0
2013-06,208,existing,0.0
2013-06,210,existing,0.0
2013-06,213,existing,0.0
2013-06,214,existing,0.0
2013-06,220,existing,12190.0
2013-06,221,existing,0.0
2013-06,225,existing,0.0
2013-06,226,existing,0.0
2013-06,227,existing,0.0
2013-06,229,existing,0.0
2013-06,233,existing,0.0
2013-06,235,existing,87600.0
2013-06,237,existing,0.0
2013-06,238,existing,0.0
2013-06,242,existing,0.0
2013-06,243,existing,0.0
2013-06,245,existing,0.0
2013-06,246,existing,22760.0
2013-06,249,existing,0.0
2013-06,251,existing,0.0
2013-06,253,existing,0.0
2013-06,254,existing,0.0
2013-06,255,existing,0.0
2013-06,257,existing,4860.0
2013-06,258,existing,0.0
2013-06,259,existing,0.0
2013-06,261,existing,0.0
2013-06,264,existing,0.0
2013-06,265,existing,0.0
2013-06,267,existing,0.0
2013-06,268,existing,0.0
2013-06,269,existing,0.0
2013-06,272,existing,0.0
2013-06,273,existing,0.0
2013-06,274,existing,0.0
2013-06,275,existing,0.0
2013-06,277,existing,0.0
2013-06,281,existing,3330.0
2013-06,282,existing,0.0
2013-06,284,existing,0.0
2013-06,285,existing,0.0
2013-06,286,existing,40460.0
2013-06,287,existing,0.0
2013-06,292,existing,0.0
2013-06,294,existing,0.0
2013-06,296,existing,0.0
2013-06,298,existing,0.0
2013-06,301,existing,0.0
2013-06,303,existing,0.0
2013-06,304,existing,0.0
2013-06,305,existing,0.0
2013-06,307,existing,0.0
2013-06,309,existing,0.0
2013-06,310,existing,0.0
2013-06,311,existing,0.0
2013-06,312,existing,0.0
2013-06,314,existing,0.0
2013-06,316,existing,0.0
2013-06,317,existing,0.0
2013-06,324,existing,0.0
2013-06,325,existing,0.0
2013-06,328,existing,0.0
2013-06,329,existing,0.0
2013-06,330,existing,0.0
2013-06,332,existing,0.0
2013-06,336,existing,0.0
2013-06,337,existing,0.0
2013-06,339,existing,0.0
2013-06,340,existing,93300.0
2013-06,342,existing,0.0
2013-06,345,existing,0.0
2013-06,346,existing,0.0
2013-06,347,existing,0.0
2013-06,350,existing,0.0
2013-06,351,existing,208610.0
2013-06,352,existing,0.0
2013-06,354,existing,0.0
2013-06,356,existing,0.0
2013-06,360,existing,0.0
2013-06,363,existing,0.0
2013-06,364,existing,128620.0
2013-06,367,existing,0.0
2013-06,370,existing,0.0
2013-06,372,existing,0.0
2013-06,373,existing,0.0
2013-06,375,existing,0.0
2013-06,376,existing,0.0
2013-06,377,existing,0.0
